type,private_owner,floor_built,floor,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,garden_area,location,district,distance_to_center,floor-area-estimate
Flat,False,180,8th,3,2,True,True,False,True,True,True,True,False,False,False,False,False,", Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.239223161668746,160.0
Flat,False,158,4th,3,3,True,True,True,True,True,True,True,False,False,False,False,False,", Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.048213034006869,118.5
Penthouse,False,305,6th,4,5,True,True,False,False,False,False,False,False,False,False,False,False,", Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,6.674803344549428,228.75
Flat,False,115,1st,2,3,True,True,True,True,True,True,True,False,False,False,False,False,"Calle del Padre Damián, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.077838149894974,86.25
Flat,False,69,4th,3,2,True,True,False,True,True,True,True,False,False,False,False,False,"Calle Talavera, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.516479711746005,51.75
Flat,False,80,4th,2,2,True,True,False,True,True,True,True,False,False,False,False,False,", Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.239223161668746,60.0
Flat,False,90,1st,2,2,True,True,False,True,True,True,True,False,False,False,False,False,", Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.048213034006869,67.5
Flat,False,65,9th,1,1,True,True,False,True,True,True,True,True,False,False,False,False,"Calle de Rafael Herrera, Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.870955399543123,60.0
Flat,False,108,3rd,2,2,True,True,False,True,True,True,True,False,True,False,False,False,"Calle de Santa María Magdalena, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.866159981242624,81.0
Flat,False,63,ground,1,1,True,True,False,True,True,False,True,False,False,False,False,False,", Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.037392393735278,55.0
Flat,False,220,6th,4,3,True,True,True,True,True,True,True,True,False,False,True,False,"guatemala, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.401949760347373,214.0
Flat,False,100,3rd,2,2,True,True,False,True,True,True,True,False,False,False,False,False,"Calle San Ernesto, 4, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.268528472434616,75.0
Flat,False,105,3rd,2,2,True,True,False,True,True,True,True,False,False,False,False,False,", Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.866979965549538,91.0
Flat,False,64,1st,1,1,True,True,False,True,True,True,False,False,False,True,False,False,"Calle de Víctor de la Serna, 5, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.752048476491453,54.0
Duplex,False,136,1st,2,2,True,True,False,True,True,True,True,False,False,True,False,False,"Calle del Padre Damián, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.239223161668746,102.0
Flat,True,160,8th,3,3,True,True,False,True,True,True,True,False,False,False,False,False,"Calle Profesor Waksman, 3, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.561165299642211,120.0
Flat,False,97,97,2,2,True,True,False,True,True,False,True,False,False,True,False,False,", Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.048213034006869,82.0
Flat,False,145,6th,4,2,True,True,False,True,True,True,True,True,False,False,False,False,", Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.866979965549538,108.75
Flat,False,120,4th,3,2,True,True,True,True,True,False,True,False,False,True,True,False,", Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.239223161668746,90.0
Flat,False,120,20th,2,2,True,True,True,True,True,True,True,False,False,False,False,False,"Avenida de América, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.957197898143026,90.0
Flat,False,190,4th,2,3,True,True,False,True,True,True,True,False,False,False,False,False,"Calle de María de Molina, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,2.8317118092193008,142.5
Flat,False,121,2nd,3,2,True,True,False,True,True,True,True,True,False,False,False,False,"Calle de Eugenio Salazar, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.09568640319277,105.0
Flat,False,38,4th,1,1,True,True,False,True,True,False,False,False,False,False,False,False,"Calle de Zabaleta, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.783768207366264,28.5
Flat,False,95,2nd,2,2,True,True,False,True,True,True,True,False,False,False,False,False,"Calle Principe De Vergara, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.903672449705414,90.0
